picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,1,,1,Rouen
1.5,150,270,275,155,2,,2,Rouen
1.5,45,270,275,265,3,,3,Rouen
1.5,200,225,225,110,4,,4,Rouen
1.5,100,225,225,200,5,,5,Rouen
1.5,250,180,185,35,6,(C),6,Rouen
1.5,45,180,185,279,7,,7,Rouen
1.5,150,180,185,155,8,,8,Rouen
1.5,205,135,135,75,9,,9,Rouen
1.5,90,135,135,240,10,,10,Rouen
1.5,275,90,85,15,11,,11,Rouen
1.5,195,90,85,110,12,,12,Rouen
1.5,100,90,85,205,13,,13,Rouen
1.5,25,90,85,300,14,,14,Rouen
1.5,150,50,40,155,15,,15,Rouen
1.5,45,315,355,265,A,,1,Aix-en-Provence
1.5,150,315,355,155,Z,,2,Aix-en-Provence
1.5,250,315,355,50,E,,3,Aix-en-Provence
1.5,200,360,405,200,R,,4,Aix-en-Provence
1.5,100,360,405,110,A,,5,Aix-en-Provence
1.5,45,405,450,279,Q,,6,Aix-en-Provence
1.5,250,405,450,35,S,,7,Aix-en-Provence
1.5,150,405,450,155,D,,8,Aix-en-Provence
1.5,90,450,500,240,F,,9,Aix-en-Provence
1.5,205,450,500,75,G,,10,Aix-en-Provence
1.5,25,495,545,300,R,,11,Aix-en-Provence
1.5,105,495,545,205,Y,,12,Aix-en-Provence
1.5,200,495,545,110,J,,13,Aix-en-Provence
1.5,275,495,545,15,T,,14,Aix-en-Provence
1.5,150,535,590,155,M,,15,Aix-en-Provence
