picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Jacquot,,1,Rouen
1.5,150,270,275,155,Bonnot,(C),2,Rouen
1.5,45,270,275,265,Tarus,,3,Rouen
1.5,200,225,225,110,Cazac,,4,Rouen
1.5,100,225,225,200,Jeleu,,5,Rouen
1.5,250,180,185,35,NDiaye,,6,Rouen
1.5,45,180,185,279,Wooching,,7,Rouen
1.5,150,180,185,155,Fofana,,8,Rouen
1.5,205,135,135,75,Lezat,,9,Rouen
1.5,90,135,135,240,Michallet,,10,Rouen
1.5,275,90,85,15,Tuatagaloa,,11,Rouen
1.5,195,90,85,110,Luatua,,12,Rouen
1.5,100,90,85,205,Peleseuma,,13,Rouen
1.5,25,90,85,300,Megdoud,,14,Rouen
1.5,150,50,40,155,Lydon,,15,Rouen
1.5,45,315,355,265,Boniface,,1,Bayonne
1.5,150,315,355,155,"Van Jaarsveld",,2,Bayonne
1.5,250,315,355,50,Tatafu,,3,Bayonne
1.5,200,360,405,200,Galarza,(C),4,Bayonne
1.5,100,360,405,110,Luamanu,,5,Bayonne
1.5,45,405,450,279,Marchois,,6,Bayonne
1.5,250,405,450,35,Hourcade,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Venter,,9,Bayonne
1.5,205,450,500,75,Lafage,,10,Bayonne
1.5,25,495,545,300,Costossèque,,11,Bayonne
1.5,105,495,545,205,Muscarditz,,12,Bayonne
1.5,200,495,545,110,Maqala,,13,Bayonne
1.5,275,495,545,15,Jacquelain,,14,Bayonne
1.5,150,535,590,155,Baget,,15,Bayonne
