picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Odishvili,,1,Soyaux-Angoulême
1.5,150,270,275,155,"Le Guen",,2,Soyaux-Angoulême
1.5,45,270,275,265,Diakite,,3,Soyaux-Angoulême
1.5,200,225,225,110,Nabou,,4,Soyaux-Angoulême
1.5,100,225,225,200,Roux,,5,Soyaux-Angoulême
1.5,250,180,185,35,Gibouin,(C),6,Soyaux-Angoulême
1.5,45,180,185,279,Burgaud-Grimart,,7,Soyaux-Angoulême
1.5,150,180,185,155,Jarmouni,,8,Soyaux-Angoulême
1.5,205,135,135,75,"(m) Saubusse",,9,Soyaux-Angoulême
1.5,90,135,135,240,"(o) Ugalde",,10,Soyaux-Angoulême
1.5,275,90,85,15,Lestremau,,11,Soyaux-Angoulême
1.5,195,90,85,110,Naqiri,,12,Soyaux-Angoulême
1.5,100,90,85,205,Mau,,13,Soyaux-Angoulême
1.5,25,90,85,300,Lafitte,,14,Soyaux-Angoulême
1.5,150,50,40,155,Brosset,,15,Soyaux-Angoulême
1.5,45,315,355,265,Guion,,1,Agen
1.5,150,315,355,155,Martinez,,2,Agen
1.5,250,315,355,50,Desmaison,,3,Agen
1.5,200,360,405,200,Maksymiw,,4,Agen
1.5,100,360,405,110,Olmstead,,5,Agen
1.5,45,405,450,279,Duputs,,6,Agen
1.5,250,405,450,35,Farré,(C),7,Agen
1.5,150,405,450,155,Lokotui,,8,Agen
1.5,90,450,500,240,"(m) Bellot",,9,Agen
1.5,205,450,500,75,"(o) Vincent",,10,Agen
1.5,25,495,545,300,Etcheverry,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Sloan,,13,Agen
1.5,275,495,545,15,Railevu,,14,Agen
1.5,150,535,590,155,Buttin,,15,Agen
