picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,M.Alo-Emile,,1,"Stade Français"
1.5,150,270,275,155,Latu,,2,"Stade Français"
1.5,45,270,275,265,P.Alo-Emile,,3,"Stade Français"
1.5,200,225,225,110,Gabrillagues,(C),4,"Stade Français"
1.5,100,225,225,200,Azagoh,,5,"Stade Français"
1.5,250,180,185,35,Burban,,6,"Stade Français"
1.5,45,180,185,279,Kremer,,7,"Stade Français"
1.5,150,180,185,155,Macalou,,8,"Stade Français"
1.5,205,135,135,75,Coville,,9,"Stade Français"
1.5,90,135,135,240,Segonds,,10,"Stade Français"
1.5,275,90,85,15,Etien,,11,"Stade Français"
1.5,195,90,85,110,Laumape,,12,"Stade Français"
1.5,100,90,85,205,Nayacalevu,,13,"Stade Français"
1.5,25,90,85,300,Naivalu,,14,"Stade Français"
1.5,150,50,40,155,Hamdaoui,,15,"Stade Français"
1.5,45,315,355,265,Cronin,,1,Biarritz
1.5,150,315,355,155,Soury,,2,Biarritz
1.5,250,315,355,50,Nutsubidze,,3,Biarritz
1.5,200,360,405,200,Gimeno,,4,Biarritz
1.5,100,360,405,110,Dyer,,5,Biarritz
1.5,45,405,450,279,"O\'Callaghan",,6,Biarritz
1.5,250,405,450,35,Hirigoyen,,7,Biarritz
1.5,150,405,450,155,Jalagonia,,8,Biarritz
1.5,90,450,500,240,Aurrekoetxea,,9,Biarritz
1.5,205,450,500,75,Herron,,10,Biarritz
1.5,25,495,545,300,Barry,,11,Biarritz
1.5,105,495,545,205,Vergnaud,,12,Biarritz
1.5,200,495,545,110,Martin,,13,Biarritz
1.5,275,495,545,15,Stark,,14,Biarritz
1.5,150,535,590,155,Lonca,(C),15,Biarritz
