picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Gros,,1,Toulon
1.5,150,270,275,155,Etrillard,,2,Toulon
1.5,45,270,275,265,Gigashvili,,3,Toulon
1.5,200,225,225,110,Rebbadj,,4,Toulon
1.5,100,225,225,200,"Alainu\'uese",,5,Toulon
1.5,250,180,185,35,"Du Preez",,6,Toulon
1.5,45,180,185,279,Ollivon,(C),7,Toulon
1.5,150,180,185,155,Parisse,,8,Toulon
1.5,205,135,135,75,Paillaugue,,9,Toulon
1.5,90,135,135,240,Serin,,10,Toulon
1.5,275,90,85,15,Wainiqolo,,11,Toulon
1.5,195,90,85,110,Sinzelle,,12,Toulon
1.5,100,90,85,205,Waisea,,13,Toulon
1.5,25,90,85,300,Cordin,,14,Toulon
1.5,150,50,40,155,Luc,,15,Toulon
1.5,45,315,355,265,Cormenier,,1,Bayonne
1.5,150,315,355,155,Bosch,,2,Bayonne
1.5,250,315,355,50,Cotet,,3,Bayonne
1.5,200,360,405,200,Leindekar,,4,Bayonne
1.5,100,360,405,110,Ceyte,,5,Bayonne
1.5,45,405,450,279,Marchois,(C),6,Bayonne
1.5,250,405,450,35,Heguy,,7,Bayonne
1.5,150,405,450,155,Cassiem,,8,Bayonne
1.5,90,450,500,240,Rouet,,9,Bayonne
1.5,205,450,500,75,Lopez,,10,Bayonne
1.5,25,495,545,300,Baget,,11,Bayonne
1.5,105,495,545,205,Buliruarua,,12,Bayonne
1.5,200,495,545,110,Maqala,,13,Bayonne
1.5,275,495,545,15,Jacquelain,,14,Bayonne
1.5,150,535,590,155,Germain,,15,Bayonne
