picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Fresia,,1,Toulon
1.5,150,270,275,155,Etrillard,,2,Toulon
1.5,45,270,275,265,Gigashvili,,3,Toulon
1.5,200,225,225,110,Nakarawa,,4,Toulon
1.5,100,225,225,200,Roux,,5,Toulon
1.5,250,180,185,35,Rebbadj,(C),6,Toulon
1.5,45,180,185,279,Timani,,7,Toulon
1.5,150,180,185,155,Isa,,8,Toulon
1.5,205,135,135,75,Blanc,,9,Toulon
1.5,90,135,135,240,Belleau,,10,Toulon
1.5,275,90,85,15,Wainiqolo,,11,Toulon
1.5,195,90,85,110,"Paia aua",,12,Toulon
1.5,100,90,85,205,Heriteau,,13,Toulon
1.5,25,90,85,300,Cordin,,14,Toulon
1.5,150,50,40,155,Luc,,15,Toulon
1.5,45,315,355,265,Millar,,1,Biarritz
1.5,150,315,355,155,Soury,,2,Biarritz
1.5,250,315,355,50,Azariashvili,,3,Biarritz
1.5,200,360,405,200,Dyer,,4,Biarritz
1.5,100,360,405,110,Olmstead,,5,Biarritz
1.5,45,405,450,279,Dixon,,6,Biarritz
1.5,250,405,450,35,Hirigoyen,,7,Biarritz
1.5,150,405,450,155,Armitage,(C),8,Biarritz
1.5,90,450,500,240,Cubelli,,9,Biarritz
1.5,205,450,500,75,Perraux,,10,Biarritz
1.5,25,495,545,300,Speight,,11,Biarritz
1.5,105,495,545,205,Saili,,12,Biarritz
1.5,200,495,545,110,Kuridrani,,13,Biarritz
1.5,275,495,545,15,Domvo,,14,Biarritz
1.5,150,535,590,155,Lonca,,15,Biarritz
