picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Devaux,,1,Toulon
1.5,150,270,275,155,Tolofua,,2,Toulon
1.5,45,270,275,265,Brookes,,3,Toulon
1.5,200,225,225,110,Etzebeth,,4,Toulon
1.5,100,225,225,200,"Alainu\'uese",,5,Toulon
1.5,250,180,185,35,Isa,,6,Toulon
1.5,45,180,185,279,Lakafia,,7,Toulon
1.5,150,180,185,155,Parisse,,8,Toulon
1.5,205,135,135,75,Serin,(C),9,Toulon
1.5,90,135,135,240,Carbonel,,10,Toulon
1.5,275,90,85,15,Luc,,11,Toulon
1.5,195,90,85,110,Heriteau,,12,Toulon
1.5,100,90,85,205,"R. Rebbadj",,13,Toulon
1.5,25,90,85,300,Wainiqolo,,14,Toulon
1.5,150,50,40,155,Kolbe,,15,Toulon
1.5,45,315,355,265,Poirot,(C),1,Bordeaux-Bègles
1.5,150,315,355,155,Dweba,,2,Bordeaux-Bègles
1.5,250,315,355,50,Cobilas,,3,Bordeaux-Bègles
1.5,200,360,405,200,Douglas,,4,Bordeaux-Bègles
1.5,100,360,405,110,Jolmes,,5,Bordeaux-Bègles
1.5,45,405,450,279,Roumat,,6,Bordeaux-Bègles
1.5,250,405,450,35,Bochaton,,7,Bordeaux-Bègles
1.5,150,405,450,155,Picamoles,,8,Bordeaux-Bègles
1.5,90,450,500,240,Lesgourgues,,9,Bordeaux-Bègles
1.5,205,450,500,75,Trinh-Duc,,10,Bordeaux-Bègles
1.5,25,495,545,300,Lam,,11,Bordeaux-Bègles
1.5,105,495,545,205,Lamerat,,12,Bordeaux-Bègles
1.5,200,495,545,110,Dubié,,13,Bordeaux-Bègles
1.5,275,495,545,15,Cordero,,14,Bordeaux-Bègles
1.5,150,535,590,155,Ducuing,,15,Bordeaux-Bègles
