picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Devaux,,1,Toulon
1.5,150,270,275,155,Etrillard,,2,Toulon
1.5,45,270,275,265,Setiano,,3,Toulon
1.5,200,225,225,110,Etzebeth,,4,Toulon
1.5,100,225,225,200,Rebbadj,(C),5,Toulon
1.5,250,180,185,35,Coulon,,6,Toulon
1.5,45,180,185,279,Lakafia,,7,Toulon
1.5,150,180,185,155,Isa,,8,Toulon
1.5,205,135,135,75,Blanc,,9,Toulon
1.5,90,135,135,240,Belleau,,10,Toulon
1.5,275,90,85,15,Wainiqolo,,11,Toulon
1.5,195,90,85,110,Septar,,12,Toulon
1.5,100,90,85,205,Smaïli,,13,Toulon
1.5,25,90,85,300,Cordin,,14,Toulon
1.5,150,50,40,155,Salles,,15,Toulon
1.5,45,315,355,265,"Fisi ihoi",,1,Pau
1.5,150,315,355,155,Lespiaucq,,2,Pau
1.5,250,315,355,50,Yaméogo,,3,Pau
1.5,200,360,405,200,Hamonou,,4,Pau
1.5,100,360,405,110,Tagitagivalu,,5,Pau
1.5,45,405,450,279,Gorgadze,(C),6,Pau
1.5,250,405,450,35,Hewat,,7,Pau
1.5,150,405,450,155,Joseph,,8,Pau
1.5,90,450,500,240,"Le Bail",,9,Pau
1.5,205,450,500,75,Henry,,10,Pau
1.5,25,495,545,300,Roudil,,11,Pau
1.5,105,495,545,205,Vatubua,,12,Pau
1.5,200,495,545,110,Manu,,13,Pau
1.5,275,495,545,15,Tuimaba,,14,Pau
1.5,150,535,590,155,Carol,,15,Pau
