picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Neti,,1,Toulouse
1.5,150,270,275,155,Cramont,,2,Toulouse
1.5,45,270,275,265,Aldegheri,,3,Toulouse
1.5,200,225,225,110,"Ro. Arnold",,4,Toulouse
1.5,100,225,225,200,Meafou,,5,Toulouse
1.5,250,180,185,35,Placines,(C),6,Toulouse
1.5,45,180,185,279,Elstadt,,7,Toulouse
1.5,150,180,185,155,Tolofua,,8,Toulouse
1.5,205,135,135,75,Germain,,9,Toulouse
1.5,90,135,135,240,Holmes,,10,Toulouse
1.5,275,90,85,15,Delibes,,11,Toulouse
1.5,195,90,85,110,Tauzin,,12,Toulouse
1.5,100,90,85,205,Guitoune,,13,Toulouse
1.5,25,90,85,300,Mallia,,14,Toulouse
1.5,150,50,40,155,Médard,,15,Toulouse
1.5,45,315,355,265,Poirot,(C),1,Bordeaux-Bègles
1.5,150,315,355,155,Maynadier,,2,Bordeaux-Bègles
1.5,250,315,355,50,Cobilas,,3,Bordeaux-Bègles
1.5,200,360,405,200,Jolmes,,4,Bordeaux-Bègles
1.5,100,360,405,110,Roussel,,5,Bordeaux-Bègles
1.5,45,405,450,279,Roumat,,6,Bordeaux-Bègles
1.5,250,405,450,35,Marais,,7,Bordeaux-Bègles
1.5,150,405,450,155,Picamoles,,8,Bordeaux-Bègles
1.5,90,450,500,240,Lesgourgues,,9,Bordeaux-Bègles
1.5,205,450,500,75,Garcia,,10,Bordeaux-Bègles
1.5,25,495,545,300,Cordero,,11,Bordeaux-Bègles
1.5,105,495,545,205,Lamerat,,12,Bordeaux-Bègles
1.5,200,495,545,110,Dubié,,13,Bordeaux-Bègles
1.5,275,495,545,15,Cros,,14,Bordeaux-Bègles
1.5,150,535,590,155,Bielle-Biarrey,,15,Bordeaux-Bègles
