picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Bordelai,,1,Vannes
1.5,150,270,275,155,Leafa,,2,Vannes
1.5,45,270,275,265,Kité,,3,Vannes
1.5,200,225,225,110,Barry,,4,Vannes
1.5,100,225,225,200,Edwards,,5,Vannes
1.5,250,180,185,35,Picault,,6,Vannes
1.5,45,180,185,279,Bazin,,7,Vannes
1.5,150,180,185,155,Bruni,,8,Vannes
1.5,205,135,135,75,Pagès,,9,Vannes
1.5,90,135,135,240,Hilsenbeck,,10,Vannes
1.5,275,90,85,15,Gratien,,11,Vannes
1.5,195,90,85,110,Symons,,12,Vannes
1.5,100,90,85,205,Rabut,,13,Vannes
1.5,25,90,85,300,Curtis,,14,Vannes
1.5,150,50,40,155,Abendanon,(C),15,Vannes
1.5,45,315,355,265,Vanaï,,1,Agen
1.5,150,315,355,155,Bregvadze,,2,Agen
1.5,250,315,355,50,Desmaison,,3,Agen
1.5,200,360,405,200,Maravat,,4,Agen
1.5,100,360,405,110,Kerdikoshvili,,5,Agen
1.5,45,405,450,279,Jegerlehner,(C),6,Agen
1.5,250,405,450,35,Gérondeau,,7,Agen
1.5,150,405,450,155,Nollet,,8,Agen
1.5,90,450,500,240,Graou,,9,Agen
1.5,205,450,500,75,Lacombe,,10,Agen
1.5,25,495,545,300,Etcheverry,,11,Agen
1.5,105,495,545,205,Ramoka,,12,Agen
1.5,200,495,545,110,Gailleton,,13,Agen
1.5,275,495,545,15,Rokoduru,,14,Agen
1.5,150,535,590,155,Gauban,,15,Agen
