picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,Bordelai,,1,Vannes
1.5,150,270,275,155,Leafa,,2,Vannes
1.5,45,270,275,265,Afoa,(C),3,Vannes
1.5,200,225,225,110,Marks,,4,Vannes
1.5,100,225,225,200,"M. Edwards",,5,Vannes
1.5,250,180,185,35,"Pedemonte ",,6,Vannes
1.5,45,180,185,279,Gorrissen,(C),7,Vannes
1.5,150,180,185,155,"J. Edwards ",,8,Vannes
1.5,205,135,135,75,Zavalza,,9,Vannes
1.5,90,135,135,240,Lafage,,10,Vannes
1.5,275,90,85,15,Camou,,11,Vannes
1.5,195,90,85,110,"Vilaseca ",,12,Vannes
1.5,100,90,85,205,Freitas,,13,Vannes
1.5,25,90,85,300,"Hulleu ",,14,Vannes
1.5,150,50,40,155,"Étienne ",,15,Vannes
1.5,45,315,355,265,Erdocio,,1,Biarritz
1.5,150,315,355,155,Sauveterre,,2,Biarritz
1.5,250,315,355,50,Millar,(C),3,Biarritz
1.5,200,360,405,200,Dyer,,4,Biarritz
1.5,100,360,405,110,Tyrell,,5,Biarritz
1.5,45,405,450,279,Hébert,,6,Biarritz
1.5,250,405,450,35,Augry,,7,Biarritz
1.5,150,405,450,155,Francoz,,8,Biarritz
1.5,90,450,500,240,Aurrekoetxea,,9,Biarritz
1.5,205,450,500,75,Herron,,10,Biarritz
1.5,25,495,545,300,Barry,,11,Biarritz
1.5,105,495,545,205,Cadot,,12,Biarritz
1.5,200,495,545,110,Morgan,,13,Biarritz
1.5,275,495,545,15,Fariscot,,14,Biarritz
1.5,150,535,590,155,Lonca,,15,Biarritz
