picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,"TEST NICO",,1,Vannes
1.5,150,270,275,155,"TEST NICO",,2,Vannes
1.5,45,270,275,265,"TEST NICO",,3,Vannes
1.5,200,225,225,110,"TEST NICO",,4,Vannes
1.5,100,225,225,200,"TEST NICO",,5,Vannes
1.5,250,180,185,35,"TEST NICO",,6,Vannes
1.5,45,180,185,279,"TEST NICO",,7,Vannes
1.5,150,180,185,155,"TEST NICO",,8,Vannes
1.5,205,135,135,75,"TEST NICO",(C),9,Vannes
1.5,90,135,135,240,"TEST NICO",,10,Vannes
1.5,275,90,85,15,"TEST NICO",,11,Vannes
1.5,195,90,85,110,"TEST NICO",,12,Vannes
1.5,100,90,85,205,"TEST NICO",,13,Vannes
1.5,25,90,85,300,"TEST NICO",,14,Vannes
1.5,150,50,40,155,"TEST NICO",,15,Vannes
1.5,45,315,355,265,"TEST NICO",,1,Rouen
1.5,150,315,355,155,"TEST NICO",,2,Rouen
1.5,250,315,355,50,"TEST NICO",,3,Rouen
1.5,200,360,405,200,"TEST NICO",,4,Rouen
1.5,100,360,405,110,"TEST NICO",,5,Rouen
1.5,45,405,450,279,"TEST NICO",,6,Rouen
1.5,250,405,450,35,"TEST NICO",,7,Rouen
1.5,150,405,450,155,"TEST NICO",(C),8,Rouen
1.5,90,450,500,240,"TEST NICO",,9,Rouen
1.5,205,450,500,75,"TEST NICO",,10,Rouen
1.5,25,495,545,300,"TEST NICO",,11,Rouen
1.5,105,495,545,205,"TEST NICO",,12,Rouen
1.5,200,495,545,110,"TEST NICO",,13,Rouen
1.5,275,495,545,15,"TEST NICO",,14,Rouen
1.5,150,535,590,155,"TEST NICO",,15,Rouen
