picto,xm,ym,xd,yd,Nom,Cap,numero,Club
1.5,250,270,275,50,CC,,1,Bayonne
1.5,150,270,275,155,CC,,2,Bayonne
1.5,45,270,275,265,CC,,3,Bayonne
1.5,200,225,225,110,CC,,4,Bayonne
1.5,100,225,225,200,CC,,5,Bayonne
1.5,250,180,185,35,CC,,6,Bayonne
1.5,45,180,185,279,CC,,7,Bayonne
1.5,150,180,185,155,CC,,8,Bayonne
1.5,205,135,135,75,CC,,9,Bayonne
1.5,90,135,135,240,CC,,10,Bayonne
1.5,275,90,85,15,CC,,11,Bayonne
1.5,195,90,85,110,CC,(C),12,Bayonne
1.5,100,90,85,205,CC,,13,Bayonne
1.5,25,90,85,300,CC,,14,Bayonne
1.5,150,50,40,155,CC,,15,Bayonne
1.5,45,315,355,265,bb,,1,Brive
1.5,150,315,355,155,bb,,2,Brive
1.5,250,315,355,50,bb,,3,Brive
1.5,200,360,405,200,bb,,4,Brive
1.5,100,360,405,110,bb,,5,Brive
1.5,45,405,450,279,bb,,6,Brive
1.5,250,405,450,35,bb,,7,Brive
1.5,150,405,450,155,bb,,8,Brive
1.5,90,450,500,240,bb,,9,Brive
1.5,205,450,500,75,bb,(C),10,Brive
1.5,25,495,545,300,bb,,11,Brive
1.5,105,495,545,205,bb,,12,Brive
1.5,200,495,545,110,bb,,13,Brive
1.5,275,495,545,15,bb,,14,Brive
1.5,150,535,590,155,bb,,15,Brive
